antibiotic,model,status,error,train_rows,test_rows,train_groups,test_groups,overlapping_groups,balanced_accuracy,resistant_recall,susceptible_recall,f1,brier_score,auroc,pr_auc,no_call_rate,called_rows,called_accuracy
ceftazidime,extra_trees,trained,,53,20,33,11,0,0.8186813186813187,0.9230769230769231,0.7142857142857143,0.8888888888888888,0.1650634166728595,0.8021978021978022,0.8722624597624599,0.4,12,0.8333333333333334
ceftazidime,gradient_boosting,trained,,53,20,33,11,0,0.8186813186813187,0.9230769230769231,0.7142857142857143,0.8888888888888888,0.14882145237306924,0.8186813186813187,0.8562364985441909,0.19999999999999996,16,0.8125
chloramphenicol,logistic_regression,trained,,70,16,35,12,0,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.07688626715610752,0.9454545454545454,0.9805194805194806,0.0625,15,0.9333333333333333
chloramphenicol,linear_svc,trained,,70,16,35,12,0,0.8545454545454545,0.9090909090909091,0.8,0.9090909090909091,0.10733170667659982,0.9090909090909091,0.9674931129476585,0.4375,9,1.0
chloramphenicol,random_forest,trained,,70,16,35,12,0,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.08510883145444019,0.9090909090909091,0.9715909090909092,0.125,14,0.9285714285714286
chloramphenicol,extra_trees,trained,,70,16,35,12,0,0.7545454545454545,0.9090909090909091,0.6,0.8695652173913043,0.09765873759258911,0.9090909090909091,0.9715909090909092,0.125,14,0.9285714285714286
chloramphenicol,gradient_boosting,trained,,70,16,35,12,0,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.0657147000888249,0.9090909090909091,0.9715909090909092,0.0,16,0.9375
gentamicin,logistic_regression,trained,,60,24,39,14,0,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.09919987293726919,0.93006993006993,0.8542535747081202,0.33333333333333337,16,0.9375
gentamicin,linear_svc,trained,,60,24,39,14,0,0.8706293706293706,0.8181818181818182,0.9230769230769231,0.8571428571428571,0.09470482740978754,0.937062937062937,0.8845566050111505,0.20833333333333337,19,0.9473684210526315
gentamicin,random_forest,trained,,60,24,39,14,0,0.8076923076923077,1.0,0.6153846153846154,0.8148148148148148,0.13824785150294777,0.923076923076923,0.8478433182978636,0.41666666666666663,14,0.9285714285714286
gentamicin,extra_trees,trained,,60,24,39,14,0,0.916083916083916,0.9090909090909091,0.9230769230769231,0.9090909090909091,0.09452908965399644,0.923076923076923,0.8087990292535747,0.20833333333333337,19,0.9473684210526315
gentamicin,gradient_boosting,trained,,60,24,39,14,0,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.06619271492357673,0.937062937062937,0.8845566050111505,0.04166666666666663,23,0.9565217391304348
